symbol,entry_date,src,net_pnl_pct,eq_near_active,eqh_active_n,eql_active_n,eq_conflu
688616.SH,20240222,EVENT,6.4024,False,0,0,False
001336.SZ,20240223,EVENT,5.0049,False,0,0,False
002058.SZ,20240223,EVENT,3.3182,False,0,0,False
002548.SZ,20240223,EVENT,-1.7891,False,0,0,False
300745.SZ,20240223,EVENT,6.1491,False,0,0,False
300834.SZ,20240223,EVENT,7.1968,False,0,0,False
300997.SZ,20240223,EVENT,4.9191,False,0,0,False
301006.SZ,20240223,EVENT,5.4973,False,0,0,False
301097.SZ,20240223,EVENT,11.2736,False,0,0,False
301176.SZ,20240223,EVENT,10.2152,False,0,0,False
301237.SZ,20240223,EVENT,4.4593,False,0,0,False
301258.SZ,20240223,EVENT,2.3739,False,0,0,False
301279.SZ,20240223,EVENT,6.7496,False,0,0,False
301335.SZ,20240223,EVENT,3.0029,False,0,0,False
301353.SZ,20240223,EVENT,8.7096,False,0,0,False
600261.SH,20240223,EVENT,6.4286,False,0,0,False
601615.SH,20240223,EVENT,8.7056,False,0,0,False
603067.SH,20240223,EVENT,1.937,False,0,0,False
603096.SH,20240223,EVENT,13.9056,False,0,0,False
603726.SH,20240223,EVENT,17.4049,False,0,0,False
603822.SH,20240223,EVENT,3.9046,False,0,0,False
605300.SH,20240223,EVENT,2.1445,False,0,0,False
688247.SH,20240223,EVENT,3.867,False,0,0,False
688435.SH,20240223,EVENT,17.4348,False,0,0,False
688485.SH,20240223,EVENT,4.5747,False,0,0,False
688503.SH,20240223,EVENT,23.645,False,0,0,False
688523.SH,20240223,EVENT,14.4119,False,0,0,False
000869.SZ,20240226,EVENT,-0.2306,False,0,0,False
001313.SZ,20240226,EVENT,2.1937,False,0,0,False
001336.SZ,20240226,EVENT,3.0892,False,0,0,False
002084.SZ,20240226,EVENT,2.4214,False,0,0,False
002249.SZ,20240226,EVENT,-0.2103,False,0,0,False
002683.SZ,20240226,EVENT,2.7049,False,0,0,False
002753.SZ,20240226,EVENT,-3.9269,False,0,0,False
002899.SZ,20240226,EVENT,3.763,False,0,0,False
