symbol,entry_date,src,net_pnl_pct,tp,sl,v23_weight_v2,v23_flags_v2
688419.SH,20240925,EVENT,13.5469,18.123,13.762,0.5,s15
300447.SZ,20240926,EVENT,22.4329,13.651,9.919,0.35,s15;s6x1
603365.SH,20240926,EVENT,20.4467,12.385,8.712,0.5,s15
688573.SH,20240926,EVENT,19.0012,20.49,12.973,0.24,s15;s10_in_ob;s5
688496.SH,20240904,EVENT,-8.3409,8.4,6.679,0.25,s15;s14
301108.SZ,20240905,EVENT,-0.6357,17.314,15.209,0.308,s17;s10_in_ob;s6x1;s14
301322.SZ,20240905,EVENT,1.1382,19.01,15.941,0.22,s1v2_CHoCH↓;s17;s14
600867.SH,20240905,EVENT,-1.3977,7.652,7.001,0.0924,s1v2_CHoCH↓;s17;s5;s6x1;s14
301223.SZ,20240909,EVENT,5.8559,14.695,12.9,0.1267,s1v2_CHoCH↓;s17;s10_in_ob;s5;s6x3;s14
002132.SZ,20240910,EVENT,3.4215,2.21,2.01,0.3,s24_eqh_target;s15;s6x3;s14
300802.SZ,20240910,EVENT,-0.8303,14.437,12.422,0.336,s10_in_ob;s12_in_ote;s6x3;s14
000592.SZ,20240911,EVENT,5.5125,1.57,1.279,0.0171,s1v2_CHoCH↑;s7v2_up;s19;s9_bsl_tight;s6x1;s14
002443.SZ,20240911,EVENT,4.4552,5.264,4.67,0.175,s15;s12_in_ote;s14
002925.SZ,20240911,EVENT,0.2022,11.613,9.558,0.0196,s1v2_CHoCH↑;s7v2_up;s19;s9_bsl_tight;s10_in_ob;s14
600060.SH,20240911,EVENT,0.3559,16.55,12.135,0.5,s14
001203.SZ,20240912,EVENT,-1.0395,8.42,7.362,0.231,s17;s5;s6x1;s14
300736.SZ,20240919,EVENT,18.477,10.33,6.896,0.0103,s1v2_CHoCH↑;s7v2_up;s19;s8_sweep_bear;s12_in_ote;s6x1;s14
002353.SZ,20240920,EVENT,14.8403,31.63,25.923,0.084,s15;s10_in_ob;s5;s6x1;s14
300802.SZ,20240920,EVENT,9.1157,14.697,12.071,0.21,s15;s12_in_ote;s6x3;s14
600507.SH,20240920,EVENT,13.1647,3.828,3.234,0.168,s10_in_ob;s5;s6x1;s14
603365.SH,20240920,EVENT,22.3446,12.385,8.861,0.175,s15;s6x1;s14
603182.SH,20240923,EVENT,2.246,10.08,9.564,0.105,s24_eqh_target;s15;s5;s6x1;s14
600380.SH,20240904,EVENT,-3.3568,10.43,8.955,0.154,s17;s10_in_ob;s4;s6x1;s14
603282.SH,20240904,EVENT,9.4722,16.289,11.489,0.042,s1v2_CHoCH↓;s4;s5;s6x1;s14
301093.SZ,20240905,EVENT,-1.2055,12.271,10.112,0.042,s1v2_CHoCH↑;s7v2_up;s9_bsl_tight;s4;s6x3;s14
002458.SZ,20240906,EVENT,-4.6595,6.823,5.646,0.0084,s1v2_CHoCH↓;s20;s15;s10_in_ob;s4;s5;s14
301223.SZ,20240906,EVENT,2.6504,14.695,12.904,0.0634,s1v2_CHoCH↓;s17;s10_in_ob;s4;s5;s6x3;s14
600809.SH,20240912,EVENT,-4.1145,176.45,142.213,0.0462,s1v2_CHoCH↓;s17;s4;s5;s6x1;s14
301107.SZ,20240924,EVENT,9.7304,11.139,9.945,0.1294,s17;s10_in_ob;s12_in_ote;s4;s5;s6x1
603356.SH,20240926,EVENT,8.8357,13.4,10.911,0.0294,s1v2_CHoCH↑;s7v2_up;s19;s12_in_ote;s4;s6x3
600975.SH,20241010,EVENT,2.1715,6.74,4.902,0.0017,s1v2_CHoCH↑;s7v2_up;s18;s16;s23;s9_bsl_tight;s10_in_ob;s6x1;s13
002996.SZ,20241017,EVENT,15.6613,6.772,4.429,0.098,s1v2_CHoCH↑;s7v2_up;s9_bsl_tight;s13
605296.SH,20241030,EVENT,-1.5553,33.99,26.582,0.0784,s1v2_CHoCH↑;s7v2_up;s9_bsl_tight;s10_in_ob;s13
601975.SH,20241015,EVENT,-0.5979,3.783,2.622,0.0784,s1v2_CHoCH↑;s7v2_up;s9_bsl_tight;s10_in_ob;s6x1
