symbol,entry_date,src,net_pnl_pct,resonance_break,resonance_side,breakout_price,breakout_date
001283.SZ,20240221,EVENT,2.4828,False,,38.59,20240130
002092.SZ,20240221,EVENT,-0.1824,False,,4.88,20240201
002117.SZ,20240221,EVENT,0.5545,False,,7.19,20240131
002132.SZ,20240221,EVENT,2.9618,False,,2.71,20240131
002249.SZ,20240221,EVENT,7.1234,False,,4.68,20240208
002664.SZ,20240221,EVENT,13.4636,False,,12.75,20240130
300463.SZ,20240221,EVENT,0.1939,False,,11.943,20240131
300897.SZ,20240221,EVENT,19.363,False,,8.921,20240131
301160.SZ,20240221,EVENT,6.5969,False,,14.707,20240130
600643.SH,20240221,EVENT,-1.5832,False,,4.54,20240202
600645.SH,20240221,EVENT,1.997,False,,16.55,20240131
600699.SH,20240221,EVENT,6.5494,False,,15.177,20240122
603067.SH,20240221,EVENT,2.8034,False,,5.675,20240131
603339.SH,20240221,EVENT,10.2222,False,,9.218,20240131
688005.SH,20240221,EVENT,-3.8989,False,,23.193,20240117
688010.SH,20240221,EVENT,10.5608,False,,19.144,20240130
688061.SH,20240221,EVENT,10.0978,False,,27.731,20240130
688105.SH,20240221,EVENT,-1.905,False,,18.112,20240130
688239.SH,20240221,EVENT,4.497,False,,26.166,20240130
688326.SH,20240221,EVENT,2.8164,False,,91.25,20240112
688349.SH,20240221,EVENT,10.694,False,,18.733,20240206
688531.SH,20240221,EVENT,5.523,False,,40.711,20240117
002117.SZ,20240222,EVENT,1.2307,False,,7.19,20240131
002132.SZ,20240222,EVENT,4.9063,False,,2.71,20240131
002634.SZ,20240222,EVENT,6.7715,False,,5.63,20240130
300435.SZ,20240222,EVENT,12.5059,False,,11.121,20240131
300700.SZ,20240222,EVENT,16.3241,False,,10.761,20240118
300786.SZ,20240222,EVENT,16.9128,False,,17.2,20240108
300873.SZ,20240222,EVENT,2.3843,False,,11.708,20240130
300985.SZ,20240222,EVENT,11.9806,False,,21.347,20240130
300997.SZ,20240222,EVENT,5.1694,False,,11.838,20240202
301047.SZ,20240222,EVENT,1.8376,False,,63.502,20240208
301290.SZ,20240222,EVENT,2.2049,False,,20.821,20240131
301366.SZ,20240222,EVENT,25.691,False,,17.357,20240130
600826.SH,20240222,EVENT,2.6675,False,,4.726,20240202
603039.SH,20240222,EVENT,2.8268,False,,29.178,20240130
603416.SH,20240222,EVENT,8.7467,False,,24.575,20240130
603755.SH,20240222,EVENT,-7.1076,False,,20.677,20240131
603798.SH,20240222,EVENT,32.489,False,,9.301,20240130
603950.SH,20240222,EVENT,9.3357,False,,13.6,20240202
688123.SH,20240222,EVENT,18.3574,False,,53.38,20240117
688138.SH,20240222,EVENT,14.1832,False,,16.232,20240130
688237.SH,20240222,EVENT,3.3964,False,,26.534,20240131
688252.SH,20240222,EVENT,15.3961,False,,13.533,20240130
688519.SH,20240222,EVENT,20.3443,False,,23.772,20240103
